timestamp,pot_fl_mm,pot_fr_mm,pot_rl_mm,pot_rr_mm,accel_body_x_g,accel_body_y_g,accel_body_z_g,accel_fl_z_g,accel_fr_z_g,accel_rl_z_g,accel_rr_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,gps_lat,gps_lon,gps_alt_m,gps_speed_mph,obd_speed_mph,obd_rpm,obd_throttle_pct,obd_coolant_c,obd_steering_deg,temp_fl_c,temp_fr_c,temp_rl_c,temp_rr_c
2026-01-05 14:30:00.000,-3.49,-2.16,-3.93,-1.55,-0.0495,0.0002,1.0039,0.9742,1.0368,0.9965,1.0147,3.72,3.85,2.28,35.345592,-80.681731,250.0,46.0,45.5,3767,32.6,84.7,-1.9,29.7,28.3,27.2,24.8
2026-01-05 14:30:00.010,-0.44,-1.8,-0.76,-1.46,0.0592,0.001,0.9616,0.9495,1.027,0.9875,1.02,11.35,5.39,1.39,35.345603,-80.681737,250.0,44.3,44.9,3804,0.0,84.7,6.1,29.8,27.8,26.5,24.8
2026-01-05 14:30:00.020,0.65,-0.64,1.16,-1.51,-0.0234,0.01,1.0029,0.9743,1.0436,0.9658,1.0365,-11.85,-0.18,-0.18,35.345623,-80.681666,250.0,45.6,45.8,3885,100.0,85.7,-2.2,29.6,28.9,27.8,25.0
2026-01-05 14:30:00.030,0.18,3.62,0.19,4.14,-0.0712,-0.049,0.9907,1.049,0.8957,1.0639,0.9334,4.53,-3.7,0.68,35.345589,-80.681727,250.0,46.9,46.7,3719,100.0,84.5,-1.1,29.9,27.9,27.1,25.9
2026-01-05 14:30:00.040,3.97,0.32,4.22,4.02,-0.0038,0.0187,0.9826,0.9806,1.0726,0.9621,0.9979,7.59,2.4,1.14,35.345595,-80.681665,250.0,45.2,45.0,3679,0.0,86.5,2.9,30.3,27.7,26.2,24.9
2026-01-05 14:30:00.050,5.21,2.53,3.41,3.36,0.0209,-0.0645,1.0642,0.9683,0.9845,0.9586,1.0119,-4.4,-4.61,-4.7,35.345619,-80.681701,250.0,43.9,45.1,3692,38.8,84.1,-4.0,30.0,28.0,27.8,25.3
2026-01-05 14:30:00.060,1.95,1.94,-0.19,2.57,-0.0043,0.0107,1.0816,1.0907,1.0268,1.0921,1.0074,-2.44,1.31,2.73,35.345619,-80.681688,250.0,47.0,47.0,4018,100.0,86.7,0.9,29.9,27.6,27.4,24.8
2026-01-05 14:30:00.070,2.22,4.94,2.12,4.11,0.0616,0.025,1.0779,1.0199,1.0023,0.9965,1.0156,-5.3,0.76,2.38,35.345645,-80.681694,250.0,45.8,46.2,3742,0.0,82.2,0.2,29.4,26.9,28.0,24.6
2026-01-05 14:30:00.080,5.36,6.34,5.13,4.8,0.0157,0.029,1.0928,1.0224,0.9372,0.9771,0.9459,-3.37,-0.84,0.13,35.345663,-80.681702,250.1,44.4,45.0,3797,0.0,86.8,-0.9,30.7,27.6,26.5,25.1
2026-01-05 14:30:00.090,5.97,0.89,2.0,3.58,-0.0025,-0.0043,1.0345,0.9693,1.1247,1.0744,1.0511,-4.42,0.8,-1.64,35.345685,-80.681701,250.1,45.4,46.1,3956,100.0,84.9,-3.3,30.0,28.1,27.0,25.5
2026-01-05 14:30:00.100,3.6,4.75,3.37,4.53,-0.018,-0.0015,1.0762,1.0176,0.9509,0.9371,0.955,0.84,-4.17,-0.91,35.345666,-80.681754,250.1,45.8,45.2,3778,0.0,85.9,-0.4,29.2,28.1,26.7,25.2
2026-01-05 14:30:00.110,-0.08,4.61,1.8,3.41,0.0222,0.0323,1.0942,1.1471,0.98,1.055,1.0278,-10.54,1.19,2.73,35.345646,-80.681698,250.1,45.9,45.2,3650,32.4,86.6,2.9,30.0,27.9,27.1,24.8
2026-01-05 14:30:00.120,6.91,3.22,4.57,3.57,0.0529,0.0142,1.0729,0.9196,1.0564,0.9678,1.0359,9.34,0.35,0.92,35.345693,-80.681676,250.1,45.9,46.0,3945,100.0,86.1,-0.3,29.4,28.2,25.9,25.9
